구분,모집시작,모집마감,체험 대상,창의적 체험활동 제목,창의적 체험활동 장소,주소
19672,,,중학교,1950년에 어떤 일이,40계단문화관,부산 중구 동광동5가44-3
19673,,,"중학교,유치원,고등학교,초등학교",수원 화성 행궁 궁중문화 UCC 제작 및 프리젠테이션 만들기,화성행궁 일원 및 연무대 일원,경기 수원시 팔달구 남창동6-2번지
19674,,,"고등학교,초등학교,중학교",만원의 행복,공주산성시장내,충남 공주시 중동284-1
19675,,,"중학교,유치원,고등학교,초등학교",생활하수 정화처리 시설 견학,하수종말처리장,충남 공주시 봉정동122
19676,,,"고등학교,초등학교,중학교",충남인력개발원 견학,인력개발원 교육실,충남 공주시 의당면 유계리33
19677,,,"중학교,유치원,초등학교",민속공연관람을 통한 몽골대탐험,민속공연장,경기 남양주시 수동면 내방리250
19678,,,"중학교,고등학교,초등학교",내손으로 친환경 채소를,서귀포시 안덕면 감산리 1903외 1필지,제주 서귀포시 안덕면화순리 1961-1
19679,,,"고등학교,초등학교,중학교",울산문화예술회관 문화의 향기에 취해서,울산문화예술회관,울산광역시 남구 번영로 200 울산광역시문화예술회관
19680,,,"교원,중학교,유치원,고등학교,초등학교",경기  고양행주문화제  고양행주문화제,고양행주문화제,경기도 고양시 덕양구 어울림로 33
19681,,,"고등학교,초등학교,일반,교원,중학교,유치원",울산 회야정수장  견학프로그램안내,회야정수장,울산광역시 울주군 웅촌면 통천리 산 112-9번지
19682,,,초등학교,여름계절학교,거북이학교 교실 및 체험장 ,충북 청원군 미원면 종암리387번지
19683,,,"중학교,고등학교",철길 따라 꿈 찾는 하루,울산역 역사주변,울산 남구 삼산동8-8
19684,,,"고등학교,초등학교,중학교,유치원",울산광역시 남부소방서 공무원이 되는 길을 찾아서 (소방공무원),울산광역시 남부소방서 소화기체험 교육장,울산 남구 삼산동1460-1
19685,,,"중학교,고등학교,초등학교",울산  연어야 돌아와 널 지켜줄께,울산시 남구 신정동,울산 남구 북부순환로 17
19686,,,"고등학교,초등학교,중학교",울산광역시강남교육지원청  쇳덩어리가 물에 뜨는 이유를 알고 싶어요,현대중공업 아산기념관 및 회사 투어,울산광역시 동구 1-0
19687,,,"고등학교,초등학교,중학교",전통문화체험,고드미 마을 체험장,충북 청원군 낭성면 귀래리276
19688,,,"중학교,초등학교",Atom 에너지의 비밀을 풀어라,"고리원전 영상 상영실, 에너지관, 원자력관",부산 기장군 장안읍 고리원자력본부고리 216
19689,,,"초등학교,유치원",천연 염색,천연 염색 예뜨락,경기 고양시 덕양구 성사동82-2
19690,,,"고등학교,초등학교,중학교,유치원",울산  문화관광해설사와 떠나는 향교 여행,울산향교,울산 중구 명륜로 117
19691,,,초등학교,대공원 숲속공작실,울산대공원 내 숲속공작실,울산 남구 옥동146-1번지
19692,,,"고등학교,초등학교,중학교",인성교육,울산향교 유림회관 3층 교육장,울산 중구 교동171-1
19693,,,"고등학교,초등학교,중학교",이월장미농원(삼화농원) 견학,삼화농원,충북 진천군 이월면 장양리134-3
19694,,,중학교,유수의 작용에 의해 형성된 작괘천,작괘천,울산 울주군 삼남면 교동리1551번지 일원
19695,,,중학교,천전리각석의 역사적 의의와 주변의 공룡 발자국 조사,천전리각석,울산 울주군 두동면 천전리천전리 계곡
19696,,,"중학교,고등학교,초등학교","울산의 관문, 우리 손으로 가꿔요.",울산역 역사 주변,울산 남구 삼산동8-8
19697,,,초등학교,농경 문화의 변천 과정 알기,농심테마파크,경기 고양시 덕양구 원흥동471-10
19698,,,"중학교,고등학교,초등학교",백곡천 생태탐험,백곡천 주변,충북 진천군 백곡면 석현리269
19699,,,"고등학교,초등학교,중학교",울산  철길 따라 추억 만들기,태화강역 및 관광안내센터,울산 남구 산업로 654
19700,,,초등학교,전시 프로그램,농심테마파크,경기 고양시 덕양구 원흥동471-10
19701,,,중학교,언양5일장과 함께하는 맛의 세계,언양5일장(언양시외버스 터미널 일대),울산 울주군 언양읍시외버스터미널 인근
19702,,,초등학교,우리 마을과 다른 점을 찾았어요,"울산지방법원 내 대회의실 및 법정, 법원 주변",울산 남구 옥동 울산지방법원635-3
19703,,,중학교,원시시대 반구대 암각화 역사적 의의,반구대 암각화,울산 울주군 언양읍 대곡리산 234-1번지
19704,,,"중학교,유치원,고등학교,초등학교",울산대학교 난 꼬마 교수님,울산대학교,울산 남구 무거동 울산대학교대학로 102
19705,,,"중학교,고등학교,초등학교",누에야 놀자 ,충북 청원군 강내면 학천리 175,충북 청원군 강내면 학천리175
19706,,,중학교,울산  함께 느끼는 박제상 애국심,박제상 유적지,울산시 울주군 두동면 치술령길 7
19707,,,"유치원,초등학교",내 꿈은 국가 대표,내 꿈은 국가 대표 ,울산 남구 무거동 울산대학교대학로 102
19708,,,초등학교,소중한 물 1% 더 활용하기,"회야 정수 사업소 홍보영상 상영관, 전시관, 정수시설",울산 울주군 청량면 동천리529
19709,,,"중학교,초등학교",울산  술잔을 걸어 놓은 내에서 시조 한 수,작괘천,울산 울주군 삼남면 교동일 1551
19710,,,"초등학교,중학교",울산기상대로 떠나는 기상여행,울산기상대(울산 중구 북정동),울산 중구 북정동315-4
19711,,,초등학교,맑은 물을 찾아서,"회야 정수 사업소 홍보영상 상영관, 전시관, 정수시설",울산 울주군 청량면 동천리529
19712,,,"중학교,초등학교",공무원이 되는 길을 찾아서 (행정직 공무원),울산시청 및 시의회,울산 남구 신정1동 울산광역시청646-4
19713,,,"고등학교,초등학교,중학교",울산환경운동연합 한국의 스티븐 스필버그,작괘천,울산 울주군 삼남면 작괘로 133
19714,,,"중학교,고등학교",현대자동차울산공장 내가 만드는 베스트 카,"울산공장, 수출부두, 문화회관",울산 북구 양정동 현대자동차700
19715,,,"중학교,초등학교",울산 울산환경운동연합  태화강 환경 탐사대 체험,울산환경운동연합 환경 체험 장소,울산 중구 옥교동320-26 4층
19716,,,"고등학교,초등학교,교원,중학교",울산광역시강남교육지원청 Mission 자동차 로봇을 만들어라,현대자동차 울산공장,울산 북구 양정동 현대자동차700
19717,,,"중학교,고등학교,초등학교",각석에서 키우는 고고학자의 꿈,천전리각석 주변,울산 울주군 두동면 천전리천전리 계곡
19718,,,중학교,대공원 테마 초화원,"울산대공원 나비원, 곤충관, 테마초화원",울산 남구 옥동146-1번지
19719,,,"고등학교,초등학교,중학교",울산  각석에서 본 통한 신라 화랑들의 생활상,천전리각석,울산 울주군 두동면 천전리 산 207-9 산 210-2
19720,,,"유치원,초등학교",생태관 체험,경기도 고양시 일산 생태학교,경기 고양시 덕양구 내곡동218-1
19721,,,"중학교,유치원,고등학교,초등학교",우리의 전통과학을 찾아서..,충북 청원군 문의면 소전1리 벌랏 한지마을,충북 청원군 문의면 소전리벌랏한지마을
19722,,,"초등학교,중학교",울산암각화박물관 암각화에서 키우는 지질학자의 꿈,반구대암각화,울산 울주군 언양읍 대곡리산 234-1번지
19723,,,"초등학교,중학교","내 고장 울산, 조상의 발자취를 찾아 과거로 출발",받물관 내,울산 남구 무거동 울산대학교대학로 102
19724,,,"중학교,유치원,고등학교,초등학교",울산  식물을 아끼는 나의 손길,들꽃학습원,울산 울주군 범서읍 두산로 52
19725,,,중학교,간절한 꿈이 이루어지는 곳 간절곶,울산광역시 울주군 서생면 대송리 일원 간절곶,울산 울주군 서생면 대송리28-1 일원
19726,,,"초등학교,중학교",울산  나만의 암각화 만들기,반구대암각화,울울산 울주군 언양읍 두동면 반구대안길 254
19727,,,"중학교,고등학교,초등학교",울산  들꽃학습원에서 알게 되는 식물의 세계,울산 들꽃학습원,울산시 울주군 범서읍 두산로 52
19728,,,초등학교,울산의 상징을 찾아라,태화강 십리대밭,울산 중구 태화동 969-12
19729,,,"고등학교,초등학교,중학교",철새 토피아 만들기,태화강 일원,울산 남구 신정1동699-7
19730,,,"고등학교,초등학교,중학교",하수 DOWN 환경 UP,용연하수처리장 처리시설,울산 남구 황성동600-4
19731,,,"중학교,고등학교,초등학교",울산광역시강남교육지원청 문화재연구원이 되려면,울산문화재연구원,울산 울주군 언양읍 반천리241
19732,,,"중학교,초등학교",울산  신불산 환경 파수꾼,신불산 억새평원,울산 울주군 상북면 등억리 산181
19733,,,"초등학교,중학교",따로 또 같이,혜인학교,울산 중구 약사동527
19734,,,초등학교,울산  가을동화 속 이야기 꾸미기,신불산 억새평원,울산 울주군 상북면 등억리 산 181
19735,,,중학교,울산 현대와 함께 나의 꿈을 찾아서,울산현대 홈구장(문수축구경기장),울산 남구 옥동산 5번지
19736,,,초등학교,발굴현장 견학,",",울산 울주군 언양읍 반천리241
19737,,,"고등학교,초등학교,교원,중학교,유치원",울산  울산환경운동연합  깨끗한 울산 만들기,울산환경운동연합,울산광역시 중구 장춘로114
19738,,,"중학교,고등학교",더불어 빛나는 나,울산시립노인요양원,기타
19739,,,"초등학교,중학교",남조천에 서식하는 생물 조사,사인암 ,충북 단양군 대강면 사인암리64
19740,,,초등학교,울산  나는야 처용지킴이,처용문화제 행사장,울산 남구 번영로 224
19741,,,"중학교,고등학교,초등학교",co2 먹는 하마 키우기,가정 및 학교,울산 남구 신정1동699-7
19742,,,"고등학교,초등학교,중학교",새밭 계곡 답사,새밭 계곡 ,충북 단양군 가곡면 어의곡리.
19743,,,초등학교,내가 만드는 처용탈,달동문화공원 특설 전시관,울산 남구 달동 울산문화예술회관및 문화공원 일원(추진위원회 울산남구문화원 4층)
19744,,,"고등학교,초등학교,중학교,유치원",나는 도서관 사서가 될래요,울산남부도서관,울산 남구 옥동1397-12
19745,,,초등학교,21일간의 경제여행,가정(http //kids.bokeducation.or.kr),울산 남구 신정2동650-7번지
19746,,,중학교,울산  DO YOU KNOW 처용,"울산 처용문화제 행사장 (태화강 둔치 및 문화공원, 행사장)",울산 처용문화제 행사장
19747,,,"고등학교,중학교",맑고 향기롭게,울산시립노인요양원,기타
19748,,,"중학교,고등학교,초등학교",원효대사 발자취 수호작전,대운산 내원암 일대,울산 울주군 온양읍 운화리1312
19749,,,"고등학교,초등학교,중학교",울산  천연기념물 보존 미션 완수,두서 은행나무,울산 울주군 두서면 구량리860
19750,,,"초등학교,중학교",도자기 만들기,연곡문화학교 ,충북 단양군 어상천면 연곡리631
19751,,,"중학교,초등학교",호수 생태 탐험,옥동저수지 생태학습장,울산 남구 옥동산 5번지
19752,,,"고등학교,초등학교,중학교",울산의 발자취를 찾아서 떠나는 여행(간월사지),간월사지,울산 울주군 상북면 등억리512-1
19753,,,"고등학교,초등학교,중학교,유치원",김주태 가옥에서 조선시대의 생활상과 관련지어 주택의 구조 살펴보기,김주태가옥 일원 ,충북 음성군 감곡면 영산리239-1
19754,,,초등학교,나는 도서관 매너짱,울산 남부도서관 어린이자료실,울산 남구 옥동1397-12
19755,,,"고등학교,초등학교,중학교",퀴즈로 식물의 이름 말하기,수목원 내 자연생태활동,경기 여주군 여주읍 매룡리282
19756,,,"중학교,고등학교,초등학교",숲해설 프로그램,수목원내,경기 여주군 여주읍 매룡리282
19757,,,"고등학교,중학교",우리는 친구에요 청소년장애체험프로그램,"울산광역시 청소년활동 진흥 센터, 가족문화센터 內",울산 남구 옥동336-2
19758,,,초등학교,나는야 꼬마 과학자 ,울산광역시 청소년활동진흥센터,울산 남구 옥동336-2
